id,source,title,content,published_at,link,extracted_at
1,Unherd.com,How JD lost the foreign policy war...,"How JD lost the foreign policy war...

 
 
 
 (First column, 7th story, link)

 

 

 
 Related stories:Vance Humiliated as He's Frozen Out...
Trump's big gamble: Overthrowing Iran regime to save his presidency...
Dances YMCA as Troops Are Warned They M…",2026-03-01T15:19:37,http://unherd.com/2026/03/how-jd-vance-lost-the-foreign-policy-war/?edition=us,2026-03-02 17:24:33
2,Ambcrypto.com,$1.8B in 60 minutes: How war headlines triggered historic leverage purge,"Panic swept through markets, but beneath the chaos, structure quietly held.",2026-03-01T15:00:36,https://ambcrypto.com/1-8b-in-60-minutes-how-war-headlines-triggered-historic-leverage-purge/,2026-03-02 17:24:33
3,Yahoo Entertainment,Vance Humiliated as He's Frozen Out...,"Vance Humiliated as He's Frozen Out...

 
 
 
 (First column, 6th story, link)

 

 

 
 Related stories:Trump Dances YMCA as Troops Are Warned They May Die in Battle...
President Faces Furious Backlash Over War No One Voted For...
'End of MAGA'...
MTG…",2026-03-01T12:25:37,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_39b42143-5873-4921-8ab9-64deccd5ac68,2026-03-02 17:24:33
4,Livedoor.biz,【速報】イラン､今夜にもｲｽﾗｴﾙを核攻撃の兆候「圧倒的かつ決定的な報復を」ネタニヤフ首相は国外逃亡,"1 名前：：2026/03/01(日) 15:54:56.76 ID:SyxKyCXq0.net BE:828293379-PLT(12345) https://img.5ch.net/ico/anime_syobon02.gif ソースは２以降 http://5ch.net 

 
引用元：https://hayabusa3.2ch.sc/test/read.cgi/news/1772348096",2026-03-01T10:00:36,https://kuromacyo.livedoor.biz/archives/2046106.html,2026-03-02 17:24:33
5,Electrek,Ignore WW3 – these electric excavators are going TO THE MOON [video],Engineering startups Astroport Space Technologies and Astrolab have successfully completed a real-world demonstration for their UTIPA Excavator – an all-electric machine designed to become the cornerstone of lunar construction solutions and pave the way for a…,2026-02-28T21:28:38,http://electrek.co/2026/02/28/ignore-ww3-these-electric-excavators-are-going-to-the-moon-video/,2026-03-02 17:24:33
6,Themirror.com,Stephen Miller warning to young Americans over imminent WW3 ages terribly...,"Stephen Miller warning to young Americans over imminent WW3 ages terribly...

 
 
 
 (First column, 8th story, link)

 

 

 
 Related stories:Trump Dances YMCA as Troops Are Warned They May Die in Battle...
President Faces Furious Backlash Over War No O…",2026-02-28T16:58:36,https://www.themirror.com/news/politics/stephen-miller-warning-young-americans-1710834,2026-03-02 17:24:33
7,LADbible,Everywhere on Russia’s leaked UK ‘strike list’ as Zelenskyy claims ‘WW3 has started’,Everywhere on Russia’s leaked UK ‘strike list’ after Ukrainian president Volodymyr Zelenskyy claimed 'WW3 has started,2026-02-25T08:59:41,https://www.ladbible.com/news/world-news/russia-uk-strike-list-zelenskyy-ukraine-ww3-world-141249-20260225,2026-03-02 17:24:33
8,LADbible,UK location to avoid as President Zelenskyy makes WW3 warning,Ukrainian president Volodymyr Zelenskyy has warned that Vladimir Putin has already commenced a Third World War,2026-02-24T17:43:36,https://www.ladbible.com/news/politics/president-zelenskyy-world-war-3-warning-uk-place-avoid-541647-20260224,2026-03-02 17:24:33
9,LADbible,Everyone that could be conscripted as Zelenskyy claims WW3 has 'already started',Zelenskyy says we need to look at how to stop Putin,2026-02-24T12:01:59,https://www.ladbible.com/news/ww3-conscription-zelenskyy-putin-war-army-992033-20260224,2026-03-02 17:24:33
10,Memeorandum.com,Zelensky tells BBC Putin has started WW3 and must be stopped (Jeremy Bowen/BBC),"Jeremy Bowen / BBC:
Zelensky tells BBC Putin has started WW3 and must be stopped  —  Ukraine's President Volodymyr Zelensky continues to send out a firm message of defiance.  —  When we met this weekend in the government headquarters in Kyiv, he said that far…",2026-02-23T12:25:00,https://www.memeorandum.com/260223/p17,2026-03-02 17:24:33
11,BBC News,Resilient Zelensky tells BBC Putin has started WW3 and must be stopped,Ukraine's president sat down with the BBC's Jeremy Bowen in Kyiv days before the four-year anniversary of the war.,2026-02-22T22:00:47,https://www.bbc.co.uk/news/articles/cvgj9p15y87o,2026-03-02 17:24:33
12,BBC News,Zelensky tells BBC Putin has started WW3 and must be stopped,Ukraine's president sat down with the BBC's Jeremy Bowen in Kyiv days before the four-year anniversary of the war.,2026-02-22T22:00:47,https://www.bbc.com/news/articles/cvgj9p15y87o,2026-03-02 17:24:33
13,Freerepublic.com,Conscription crisis as 'people under 40 refuse to serve if WW3 broke out',"A poll shows that around 40% of under-40s across Britain would refuse to serve in the armed forces if WW3 broke out. Meanwhile, 30% said they would still refuse to serve even if the nation was facing an imminent invasion. Experts across the world believe we'v…",2026-02-14T18:58:58,https://freerepublic.com/focus/f-news/4366861/posts,2026-03-02 17:24:33
14,LADbible,Starmer says 'Europe must be ready to fight Russia' as WW3 tensions rise,UK Prime Minister Keir Starmer said 'we are not at a crossroads' as he said it's 'straight and clear' ahead.,2026-02-14T10:39:17,https://www.ladbible.com/news/uk-news/keir-starmer-europe-russia-war-ready-fight-611238-20260214,2026-03-02 17:24:33
15,Freerepublic.com,China’s Democrat Minority Leader in Texas Calls for Race War,"“I always tell people the day Latinos, African-American, Asian and other communities realize that they share the same oppressor is the day we start winning. Because we are the majority in this country. We have the ability to take over this country,” State Rep…",2026-02-10T10:56:05,https://freerepublic.com/focus/f-bloggers/4366224/posts,2026-03-02 17:24:33
16,The Times of India,India’s longest funicular railway transforms tourism at Kalyan shrine,"India's longest funicular railway has revolutionized Malang Gad, boosting religious tourism and the local economy. The seven-minute journey has quadrupled visitor numbers, benefiting thousands of residents. Despite the convenience, many still embrace the trad…",2026-02-09T09:18:08,https://timesofindia.indiatimes.com/city/thane/indias-longest-funicular-railway-transforms-tourism-at-kalyan-shrine/articleshow/128107216.cms,2026-03-02 17:24:33
17,The Times of India,Maruti Suzuki moves 5.85 lakh cars by train in 2025: Rail record explained,"The continued shift towards rail logistics has helped the automaker reduce carbon emissions, lower dependence on road transport, ease congestion, and cut fuel consumption, reinforcing railways as a key pillar of its long-term sustainability strategy. In absol…",2026-02-09T09:05:11,https://timesofindia.indiatimes.com/auto/cars/maruti-suzuki-moves-5-85-lakh-cars-by-train-in-2025-rail-record-explained/articleshow/128104257.cms,2026-03-02 17:24:33
18,Activistpost.com,10 HUGE REASONS WHY……,"Trump has been coerced into war against Iran byhis Khazarian masters and Zionist handlers, Israeli warmongers and Ashkenazi banksters…….and heappears to be cornered with absolutely no way outthis time. Submitted by An Armchair Geopolitical AnalystSOTN Exclusi…",2026-02-07T14:00:00,https://www.activistpost.com/10-huge-reasons-why/,2026-03-02 17:24:33
19,Snopes.com,Look out for alleged email in Epstein files about World War III,"A screenshot authentically depicted a 2018 email found in the Jeffrey Epstein files claiming World War III would begin on Feb. 8, 2026.",2026-02-06T18:25:00,https://www.snopes.com//fact-check/world-war-iii-epstein-files/,2026-03-02 17:24:33
20,The Times of India,Bangladesh continues to deny attack on minorities,"South Asia News: DHAKA: Continuing with its denial of reports of atrocities against minorities, particularly Hindus, the chief adviser Muhammad Yunus-led interim govt .",2026-02-03T01:33:41,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-continues-to-deny-attack-on-minorities/articleshow/127873925.cms,2026-03-02 17:24:33
21,The Times of India,Iran arrests an Oscar-nominated screenwriter for criticising Khamenei regime,Middle East News: An Iranian screenwriter nominated for an Academy Award was arrested after signing a statement condemning his govt for its deadly crackdown on proteste.,2026-02-03T01:26:28,https://timesofindia.indiatimes.com/world/middle-east/iran-arrests-an-oscar-nominated-screenwriter-for-criticising-khamenei-regime/articleshow/127873878.cms,2026-03-02 17:24:33
22,The Times of India,"Hate speech bill sent to President Droupadi Murmu; ‘deliberate bid to dump it in cold storage,’ says Karnataka HM G Parameshwara","In a heated exchange, Karnataka's Home Minister G Parameshwara has accused Governor Thaawar Chand Gehlot of intentionally forwarding the Hate Speech and Hate Crime (Prevention) Bill to the President, ostensibly to stall its rollout. The bill, which has alread…",2026-02-03T00:45:48,https://timesofindia.indiatimes.com/city/bengaluru/hate-speech-bill-sent-to-president-droupadi-murmu-deliberate-bid-to-dump-it-in-cold-storage-says-karnataka-hm-g-parameshwara/articleshow/127873633.cms,2026-03-02 17:24:33
