i,j,score,title_i,title_j,source_i,source_j,link_i,link_j
697,859,0.9622641509433962,Trump warns of longer Iran war as Riyadh and Beirut hit,"Trump warns of longer Iran war as Riyadh, Beirut hit",RTE,Hurriyet Daily News,https://www.rte.ie/news/middle-east/2026/0303/1561346-middle-east-conflict/,https://www.hurriyetdailynews.com/trump-warns-of-longer-iran-war-as-riyadh-beirut-hit-219526
663,677,0.959349593495935,Europe’s economy can ride out Iran war — if over in a month,Europe’s economy can ride out Iran war — if it’s over in a month,The Times of India,The Times of India,https://economictimes.indiatimes.com/news/international/business/europes-economy-can-ride-out-israel-iran-war-oil-prices-gas-if-over-in-a-month/articleshow/128966575.cms,https://economictimes.indiatimes.com/news/international/world-news/europes-economy-can-ride-out-iran-war-if-its-over-in-a-month/articleshow/128962561.cms
574,667,0.9534883720930233,"Iranian drones hit the US Embassy in Saudi Arabia, while hundreds are reported dead in Iran","Iranian Drones Hit U.S. Embassy In Saudi Arabia, While Hundreds Reported Dead In Iran",Boston Herald,HuffPost,https://www.bostonherald.com/2026/03/03/us-iran-israel/,https://www.huffpost.com/entry/iran-us-middle-east-war_n_69a6ab35e4b076ac5d637ddb
667,869,0.9534883720930233,"Iranian Drones Hit U.S. Embassy In Saudi Arabia, While Hundreds Reported Dead In Iran","Iranian drones hit the US Embassy in Saudi Arabia, while hundreds are reported dead in Iran",HuffPost,Yahoo Entertainment,https://www.huffpost.com/entry/iran-us-middle-east-war_n_69a6ab35e4b076ac5d637ddb,https://www.yahoo.com/news/articles/us-embassy-saudi-arabia-hit-045619887.html
66,749,0.9433962264150944,What we know on day five of US-Israeli attacks on Iran,What we know on day four of US-Israeli attacks on Iran,Al_Jazeera,Al Jazeera English,https://www.aljazeera.com/news/2026/3/4/what-we-know-on-day-five-of-us-israeli-attacks-on-iran?traffic_source=rss,https://www.aljazeera.com/news/2026/3/3/what-we-know-on-day-four-of-us-israeli-attacks-on-iran
314,329,0.9425287356321839,Will Iran take part in the 2026 FIFA World Cup?,Will Iran take part in the 2026 World Cup?,The Times of India,Yahoo Entertainment,https://economictimes.indiatimes.com/news/sports/will-iran-take-part-in-the-2026-fifa-world-cup/articleshow/128975256.cms,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4fe8b89a-5eab-4db2-b912-145c7be8f714
771,773,0.9333333333333333,US Urges Citizens to Immediately Depart Over a Dozen Middle Eastern Countries,US urges citizens to immediately leave over a dozen Middle East countries,Daily Signal,Al Jazeera English,https://www.dailysignal.com/2026/03/02/us-urges-citizens-to-immediately-depart-over-a-dozen-middle-eastern-countries/,https://www.aljazeera.com/news/2026/3/3/us-urges-citizens-to-immediately-leave-over-a-dozen-middle-east-countries
306,345,0.9316770186335404,"Average price for a gallon of gas rises 11 cents overnight to about $3.11 in US, AAA says",Average price for gallon of gas rises 11 cents overnight to about $3.11 in US,Boston Herald,The Times of India,https://www.bostonherald.com/2026/03/03/gas-prices/,https://economictimes.indiatimes.com/markets/commodities/news/average-price-for-gallon-of-gas-rises-11-cents-overnight-to-about-3-11-in-us/articleshow/128976618.cms
96,893,0.9312169312169312,"Mojtaba Khamenei, son of former supreme leader, tipped to become Iran’s next head of state","Mojtaba Khamenei, son of former supreme leader, tipped to become Iran’s next head of state - The Guardian",Guardian,Slashdot.org,https://www.theguardian.com/world/2026/mar/04/mojtaba-khamenei-son-of-former-supreme-leader-tipped-to-become-irans-next-head-of-state,https://slashdot.org/firehose.pl?op=view&amp;id=180905248
263,338,0.9204545454545454,Tens of thousands of people are stranded in the Middle East as Iran war complicates routes home,Tens of thousands stranded in the Middle East as Iran war complicates routes home,The Denver Post,Abcnews.com,https://www.denverpost.com/2026/03/03/middle-east-canceled-flights/,https://abcnews.com/International/wireStory/tens-thousands-people-stranded-middle-east-iran-war-130709038
264,338,0.9204545454545454,Tens of thousands of people are stranded in the Middle East as Iran war complicates routes home,Tens of thousands stranded in the Middle East as Iran war complicates routes home,Boston Herald,Abcnews.com,https://www.bostonherald.com/2026/03/03/middle-east-canceled-flights/,https://abcnews.com/International/wireStory/tens-thousands-people-stranded-middle-east-iran-war-130709038
