source,title,summary,published,link,scraped_at
BBC,Allies of US in the Gulf bear brunt of Iran attacks,Iran's attacks on Gulf Arab states suggest the Islamic Republic is targeting not just the US military but also civilian infrastructure.,"Sun, 01 Mar 2026 22:19:03 GMT",https://www.bbc.com/news/articles/c1jk922dgjgo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525642
BBC,Oil prices rise after ships attacked near Strait of Hormuz,Experts have warned that a prolonged conflict could push global energy prices even higher.,"Mon, 02 Mar 2026 06:53:43 GMT",https://www.bbc.com/news/articles/c75evve6l63o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525655
BBC,Michael B Jordan upends Oscars race as Sinners wins big at Actor Awards,The US star's best actor win for Sinners leaves the Oscars race too close to call.,"Mon, 02 Mar 2026 05:08:35 GMT",https://www.bbc.com/news/articles/clyzklvk79yo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525664
BBC,"At least 153 dead after reported strike on school, Iran says","Iran has blamed the US and Israel for the strike; the US is looking into reports of the incident, while the IDF says it is ""not aware"" of operations in the area.","Sun, 01 Mar 2026 15:32:26 GMT",https://www.bbc.com/news/articles/c1l7rvqq51eo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525666
BBC,Nine dead in missile attack on Israel as Iran strikes region,Several deaths are reported across the Middle East as Tehran retaliates for massive strikes by the US and Israel.,"Sun, 01 Mar 2026 22:24:27 GMT",https://www.bbc.com/news/articles/c363zkp1pgxo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525668
BBC,"Deadly Texas bar shooting 'potentially act of terrorism', FBI says","Two people were killed and 14 injured, with the suspected gunman, identified by some media outlets, also shot dead.","Sun, 01 Mar 2026 23:17:32 GMT",https://www.bbc.com/news/articles/cgjznzgly0po?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525670
BBC,War photographer Paul Conroy dies as tributes paid,"Jamie Doran played the photographer, who has died aged 61, in the 2018 movie A Private War.","Sun, 01 Mar 2026 19:47:03 GMT",https://www.bbc.com/news/articles/c5y6jvlv83ro?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525672
BBC,Why is WhatsApp's privacy policy facing a legal challenge in India?,A 2021 policy update requires users to share data with Meta for ads purposes to continue using the app.,"Sun, 01 Mar 2026 00:21:43 GMT",https://www.bbc.com/news/articles/cp81wegj123o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525674
BBC,What we know so far about the US-Israel attacks and Iran's retaliation,Iran responds by launching missiles and drones towards Israel and four Gulf Arab countries that host US military bases.,"Sun, 01 Mar 2026 21:45:33 GMT",https://www.bbc.com/news/articles/cx2dyz6p3weo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525676
BBC,Aid groups in Gaza and West Bank thrown lifeline as Israel court pauses ban threat,"Dozens of well-known groups faced shutdown under a new Israeli law, although the reprieve might be temporary.","Fri, 27 Feb 2026 20:31:27 GMT",https://www.bbc.com/news/articles/cd6z382de8yo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525681
BBC,At least 20 killed after military plane carrying banknotes crashes in Bolivia,Police fire tear gas to disperse crowds allegedly trying to take banknotes from the crash site.,"Sat, 28 Feb 2026 13:00:39 GMT",https://www.bbc.com/news/articles/c0rjpxxpp49o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525684
BBC,Iran's regime is still intact - the coming days will show if it can hold out,"Iran's surviving leaders are in crisis mode, battling to project security as US and Israel strikes continue.","Sun, 01 Mar 2026 18:05:06 GMT",https://www.bbc.com/news/articles/cx2lgvg5rl1o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525686
BBC,Months of planning behind US-Israeli mission to target Iran's supreme leader,A piece of crucial intelligence arrived just hours before the attack on a compound in central Tehran.,"Sun, 01 Mar 2026 14:45:56 GMT",https://www.bbc.com/news/articles/c86y5540vnno?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525688
BBC,Ayatollah Khamenei's iron grip on power in Iran comes to an end,Iranian state TV confirms the supreme leader has been killed on the first day of massive US and Israeli air strikes on the country.,"Sun, 01 Mar 2026 01:47:42 GMT",https://www.bbc.com/news/articles/c3gdnpjvj4ko?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525689
BBC,"What the Warner Bros deal could mean for streaming, cinemas and news",If Paramount's takeover of Warner Bros goes ahead it could significantly reshape Hollywood.,"Fri, 27 Feb 2026 21:46:14 GMT",https://www.bbc.com/news/articles/c20j5n2w4q6o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525703
BBC,How Ghislaine Maxwell brought Bill Clinton into Epstein's orbit,Documents in the Epstein files reveal how Maxwell nurtured the connection between the two men after Clinton left the White House.,"Fri, 27 Feb 2026 21:48:24 GMT",https://www.bbc.com/news/articles/cp85jdqdyq7o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525708
BBC,Watch: Retaliations continue on day two of US-Israel attacks on Iran,Donald Trump warned of more US deaths after three US service members have been killed in action on the second day of US-Israel attack on Iran.,"Sun, 01 Mar 2026 23:18:27 GMT",https://www.bbc.com/news/videos/cvgk8vj56v1o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525710
BBC,Watch: Moment Iran's state TV announces Supreme Leader has been killed,Iran's state media has confirmed that Supreme Leader Ali Khamenei has been killed.,"Sun, 01 Mar 2026 05:11:16 GMT",https://www.bbc.com/news/videos/clyxdnxe1qvo?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525713
BBC,Watch: How US-Israel strikes on Iran unfolded... in two minutes,Iran launched retaliatory attacks in the Middle East after US-Israel strikes across the country.,"Sun, 01 Mar 2026 13:49:35 GMT",https://www.bbc.com/news/videos/clyv5rnd8r0o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525715
BBC,Celebrations around the world after strikes on Iran,"People in the UK, Spain and the United States celebrated on Saturday following news of the strikes.","Sun, 01 Mar 2026 06:22:30 GMT",https://www.bbc.com/news/videos/c2d1zj43zr6o?at_medium=RSS&at_campaign=rss,2026-03-02 12:53:54.525717
Guardian,Ghana says at least 55 of its people killed after Russia ‘lured’ them to fight Ukraine,"<p>Foreign minister says 272 Ghanaians are thought to have been drawn into battle since 2022, after he visited Kyiv</p><p>At least 55 Ghanaians have been killed in Russia’s war with Ukraine after being “lured into battle”, Ghana’s foreign minister has said after a visit to Kyiv in which officials raised the issue of Russian recruitment of African people.</p><p>Reports of African men being attracted to Russia by promises of jobs and ending up on Ukraine’s frontlines have become more frequent in recent months, creating tensions between Moscow and some of the countries involved.</p> <a href=""https://www.theguardian.com/world/2026/feb/27/ghana-men-killed-fight-russia-ukraine"">Continue reading...</a>","Fri, 27 Feb 2026 16:42:39 GMT",https://www.theguardian.com/world/2026/feb/27/ghana-men-killed-fight-russia-ukraine,2026-03-02 12:53:54.889768
Guardian,Rising anger over ‘lop-sided’ and ‘immoral’ US health funding pacts with African countries,"<p>Zimbabwe refuses to sign agreement and Kenya faces a court case over data sharing as new aid deals come under scrutiny</p><p>A series of bilateral health agreements being negotiated between African countries and the administration of President Donald Trump have been labelled “clearly lop-sided” and “immoral” amid growing outrage at US demands, including countries being forced to share biological resources and data.</p><p>It emerged this week that Zimbabwe had halted negotiations with the US for $350m (£258m) of health funding, saying the proposals risked undermining its sovereignty and independence.</p> <a href=""https://www.theguardian.com/global-development/2026/feb/27/rising-anger-over-lop-sided-immoral-us-health-funding-pacts-africa-countries"">Continue reading...</a>","Fri, 27 Feb 2026 07:00:34 GMT",https://www.theguardian.com/global-development/2026/feb/27/rising-anger-over-lop-sided-immoral-us-health-funding-pacts-africa-countries,2026-03-02 12:53:54.889787
Guardian,Two women arrested in Uganda for allegedly kissing in public could face life sentence,"<p>Wendy Faith and Alesi Diana Denise were taken into custody under laws that have outraged LGBTQ+ community and rights activists</p><p>Two women have been arrested and detained in Uganda after allegedly kissing in public, an act of “same-sex activity” which can lead to a life sentence in the east African country..</p><p>Wendy Faith, a 22-year-old musician known as Torrero Bae, and Alesi Diana Denise, 21, were taken into custody after police raided their rented room in Uganda’s north-west Arua City last week.</p> <a href=""https://www.theguardian.com/global-development/2026/feb/26/women-arrested-uganda-kissing-public-lgbtq-laws"">Continue reading...</a>","Thu, 26 Feb 2026 08:00:23 GMT",https://www.theguardian.com/global-development/2026/feb/26/women-arrested-uganda-kissing-public-lgbtq-laws,2026-03-02 12:53:54.889797
Guardian,‘A devastating force’: how recent storms turned to tragedies across the western Mediterranean,"<p>Atmospheric machine-gun has fired storm after deadly storm at the region this year, leaving a trail of widespread destruction</p><p>For Andrés Sánchez Barea, in Spain, it was the fear that arose when water started to spurt from plug sockets. For Nelson Duarte, in Portugal, it was the helplessness that hit as violent winds smacked down trees and tore tiles from roofs. For Amal Essuide, in Morocco, it was the reality that dawned when a corpse was pulled onboard a boat in the flooded medina.</p><p>Each moment of horror is a fragment of the destruction wrought by an atmospheric machine-gun that in recent weeks has fired storm after storm at the western Mediterranean. Scientists do not know if climate breakdown helped pull the trigger, but <a href=""https://mcusercontent.com/854a9a3e09405d4ab19a4a9d5/files/72a50dc0-ae76-c9dd-df6e-71725879b52f/WWA_Scientific_report_Mediterranean_Storms.pdf"">research suggests it loaded the chamber</a> with bigger bullets.</p> <a href=""https://www.theguardian.com/world/2026/feb/26/recent-mediterranean-storms-tragedies-spain-portugal-morocco"">Continue reading...</a>","Thu, 26 Feb 2026 05:00:21 GMT",https://www.theguardian.com/world/2026/feb/26/recent-mediterranean-storms-tragedies-spain-portugal-morocco,2026-03-02 12:53:54.889811
Guardian,US accused of ‘shameless exploitation’ over proposed Zambian health aid deal,"<p>Leaked draft of $1bn memorandum of understanding reveals mandatory targets, sharing of data, and reported access to mining concessions</p><p>The US has been accused of “shameless exploitation” over a health financing agreement with Zambia worth more than $1bn (£740m), amid warnings that the country is getting a raw deal from the Trump administration.</p><p>A leaked draft of a five-year memorandum of understanding (MOU) between the two countries, seen by the Guardian, reveals that Zambia may accept terms worse than health financing agreements the US has reached <a href=""https://www.cgdev.org/publication/rolling-out-trump-administrations-global-health-agreements-what-can-we-learn-past"">with 16 other African countries</a>.</p> <a href=""https://www.theguardian.com/global-development/2026/feb/25/zambia-us-health-aid-deal-exploitation-mining-concessions-data-sharing-targets"">Continue reading...</a>","Wed, 25 Feb 2026 13:00:36 GMT",https://www.theguardian.com/global-development/2026/feb/25/zambia-us-health-aid-deal-exploitation-mining-concessions-data-sharing-targets,2026-03-02 12:53:54.889817
Guardian,‘Adventurism has had its day’: speedboat shootout leaves Miami’s exiled Cubans bewildered,"<p>Few clues as to how 10 heavily armed men intercepted on stolen speedboat came together from across Florida or what they hoped to achieve </p><p>Foot traffic was slow outside the <a href=""https://www.miamiandbeaches.com/l/arts-and-culture/bay-of-pigs-brigade-2506-museum/52808"">Bay of Pigs Museum</a> on Calle Ocho in Miami’s Little Havana neighbourhood. A few tourists in T-shirts and shorts bypassed the gallery dedicated to one of the most <a href=""https://www.theguardian.com/world/2015/apr/17/cuba-love-obama-bay-of-pigs-anniversary"">fateful days in Cuba’s history</a> and headed instead to nearby Máximo Gómez Park to take photographs of Cuban exiles playing dominoes.</p><p>This is the street at the heart of the Cuban expat community of more than 1 million people where tens of thousands partied through the night in November 2016 to <a href=""https://www.theguardian.com/world/2016/nov/26/the-old-man-is-dead-fidel-castros-death-sparks-celebrations-on-streets-of-miami"">celebrate the death</a> of Fidel Castro, and where they gathered in sorrow almost exactly 30 years ago to mourn four Cuban-Americans <a href=""https://www.cbsnews.com/miami/news/brothers-to-the-rescue-shootdown-cuba-florida/"">shot down</a> by the communist country’s air force as they conducted a mission for the humanitarian exile group Brothers to the Rescue.</p> <a href=""https://www.theguardian.com/world/2026/feb/28/miami-exiled-cubans-speedboat-shootout"">Continue reading...</a>","Sat, 28 Feb 2026 10:00:08 GMT",https://www.theguardian.com/world/2026/feb/28/miami-exiled-cubans-speedboat-shootout,2026-03-02 12:53:54.889831
Guardian,At least 20 killed as cash-laden military cargo plane crashes in Bolivia,"<p>Riot police use teargas to disperse people gathering around wreckage of plane loaded with money from central bank</p><p>At least 20 people have died and dozens have been injured after a military cargo plane carrying banknotes crashed while landing near Bolivia’s capital on Friday, damaging about a dozen vehicles on a highway and scattering bills on the ground, an official has said.</p><p>Footage from local media showed people rushing to collect banknotes while police in riot gear tried to disperse them using teargas. Authorities were later seen setting the money alight in a bonfire at the scene of the crash.</p> <a href=""https://www.theguardian.com/world/2026/feb/28/at-least-15-killed-as-cash-laden-military-cargo-plane-crashes-in-bolivia"">Continue reading...</a>","Sat, 28 Feb 2026 03:05:37 GMT",https://www.theguardian.com/world/2026/feb/28/at-least-15-killed-as-cash-laden-military-cargo-plane-crashes-in-bolivia,2026-03-02 12:53:54.889841
Guardian,Trump suggests US could carry out ‘friendly takeover’ of Cuba,"<p>As tensions between two countries reach new highs, US president says regime is ‘talking with us’</p><p>Donald Trump has suggested the US could carry out a “friendly takeover” of Cuba as tensions between Washington and Havana reach a new high after the capture of Venezuela’s Nicolás Maduro.</p><p>As he left the White House for a campaigning event in Texas on Friday, Trump said: “The Cuban government is talking with us. They’re in a big deal of trouble.”</p> <a href=""https://www.theguardian.com/us-news/2026/feb/27/trump-cuba-regime-change"">Continue reading...</a>","Fri, 27 Feb 2026 23:39:01 GMT",https://www.theguardian.com/us-news/2026/feb/27/trump-cuba-regime-change,2026-03-02 12:53:54.889849
Guardian,Democrats outraged at US military’s downing of CBP drone near Mexico border,"<p>Second time in two weeks military used laser to attack what it mistakenly thought was a threat, disrupting air traffic</p><ul><li><p><a href=""https://www.theguardian.com/news/2026/feb/17/sign-up-for-the-breaking-news-us-email-to-get-newsletter-alerts-direct-to-your-inbox?utm_medium=ACQUISITIONS_STANDFIRST&amp;utm_campaign=BN22326&amp;utm_content=signup&amp;utm_term=standfirst&amp;utm_source=GUARDIAN_WEB"">Sign up for the Breaking News US email to get newsletter alerts in your inbox</a></p></li></ul><p>Democratic members of <a href=""https://www.theguardian.com/us-news/us-congress"">Congress</a> have expressed astonishment and anger at what they claim is the incompetence of the <a href=""https://www.theguardian.com/us-news/trump-administration"">Trump administration</a> after the US military used a laser on Thursday to shoot down what it thought was a threatening drone on the <a href=""https://www.theguardian.com/us-news/us-mexico-border"">US-Mexico border</a> in Texas but later turned out to belong to US Customs and Border Protection (<a href=""https://www.theguardian.com/us-news/2026/jan/19/donald-trump-immigration-crackdown"">CBP</a>).</p><p>The apparent confusion between two entities in the US government led to airspace being closed around Fort Hancock, right along the border. It was the second time in two weeks that air traffic was disrupted in the region as a result of a high-energy laser being deployed against drones.</p> <a href=""https://www.theguardian.com/us-news/2026/feb/27/cbp-border-drone-military-democrats"">Continue reading...</a>","Fri, 27 Feb 2026 14:37:19 GMT",https://www.theguardian.com/us-news/2026/feb/27/cbp-border-drone-military-democrats,2026-03-02 12:53:54.889863
Guardian,"‘More exploitation, fewer rights’: Argentina braces for sweeping overhaul of labor laws","<p>Javier Milei’s boosters say law will revive employment, but critics decry cuts to severance and longer working hours</p><p><a href=""https://www.theguardian.com/world/argentina"">Argentina</a>’s senate is poised to approve a sweeping overhaul of labour laws aimed at weakening trade unions and lowering labour costs for businesses.</p><p>The government of the self-styled “anarcho-capitalist” president, <a href=""https://www.theguardian.com/world/javier-milei"">Javier Milei</a>, says the initiative will help revive formal employment, after 290,600 registered jobs were lost between December 2023, when he took office, and November 2025.</p> <a href=""https://www.theguardian.com/world/2026/feb/27/argentina-labor-law-overhaul"">Continue reading...</a>","Fri, 27 Feb 2026 09:00:37 GMT",https://www.theguardian.com/world/2026/feb/27/argentina-labor-law-overhaul,2026-03-02 12:53:54.889873
Guardian,Shark culls brought in after fatal attack cause division and anger in New Caledonia,"<p>Authorities say capture of bull and tiger sharks necessary to protect lives as environmentalists launch urgent legal challenge</p><p>Some beaches in areas of New Caledonia are closed to swimming and the authorities have begun shark culling off the capital, Nouméa, after a fatal attack in the popular tourist spot – prompting a legal challenge to stop the operation and reigniting debate over public safety and marine conservation.</p><p>The culling operation began on 23 February, after a man from New Caledonia riding a wing foil in a recreational area was attacked and killed. Preliminary investigations indicate the victim was attacked by a tiger shark that measured at least three metres.</p> <a href=""https://www.theguardian.com/world/2026/mar/02/new-caledonia-shark-attack-culling"">Continue reading...</a>","Mon, 02 Mar 2026 04:20:27 GMT",https://www.theguardian.com/world/2026/mar/02/new-caledonia-shark-attack-culling,2026-03-02 12:53:54.889883
Guardian,‘You can’t hide from the invisible’: why Bangkok police make arrests in disguise,"<p>Critics claim the operations are geared at social media, but police say they have enabled real arrests</p><p>Police officers from Bangkok’s metropolitan bureau had less than 24 hours to prepare for their latest undercover operation. They would be starring as performers of a lion dance at a temple fair held for the lunar new year. Their mission: track down and arrest a suspected thief who had a history of evading officers.</p><p>“The dance was spontaneous. We just did what we did,” said the police captain Lertvarit Lertvorapreecha, adding that nobody had time to practise. In his haste, he accidentally picked up his colleague’s male mask, which he wore with a red silk dress, trousers and tactical shoes.</p> <a href=""https://www.theguardian.com/world/2026/feb/28/bangkok-police-arrests-in-disguise"">Continue reading...</a>","Sat, 28 Feb 2026 05:00:02 GMT",https://www.theguardian.com/world/2026/feb/28/bangkok-police-arrests-in-disguise,2026-03-02 12:53:54.889893
Guardian,North Korea’s ‘most beloved’ child: what the key congress revealed about Kim Jong-un’s succession plans,"<p>Many observers believe North Korean leader has decided daughter Kim Ju-ae will succeed him, but others say gender politics could block her path to power</p><p>When North Korea’s ruling party held a top-level meeting this month there were predictable boasts of unstoppable nuclear development and, more unexpectedly, a suggestion by <a href=""https://www.theguardian.com/world/kim-jong-un"">Kim Jong-un</a> that his country and the US “could get along” – provided that Washington recognised North Korea as a legitimate nuclear power.</p><p>But for many <a href=""https://www.theguardian.com/world/north-korea"">North Korea</a> watchers, the Workers’ party congress – held over several days just once every five years – was a rare opportunity to speculate over the identity of the country’s future leader.</p> <a href=""https://www.theguardian.com/world/2026/feb/27/north-korea-kim-jong-un-daughter-ju-ae-succession"">Continue reading...</a>","Fri, 27 Feb 2026 05:53:53 GMT",https://www.theguardian.com/world/2026/feb/27/north-korea-kim-jong-un-daughter-ju-ae-succession,2026-03-02 12:53:54.889903
Guardian,Boss of theatre hosting Chinese dance group Shen Yun in Sydney won’t be intimidated by ‘outrageous’ threats,"<p>Graeme Kearns, chief executive of Foundation Theatres, says: ‘Our job in theatre is to absolutely defend the right to tell stories about culture’</p><ul><li><p><a href=""https://www.theguardian.com/australia-news/live/2026/feb/27/coles-results-nsw-victoria-queensland-weather-politics-updates-labor-coalition-anthony-albanese-angus-taylor-ntwnfb""><strong>Follow our Australia news live blog for latest updates</strong></a></p></li><li><p><strong>Get our </strong><a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl""><strong>breaking news email</strong></a><strong>, </strong><a href=""https://app.adjust.com/w4u7jx3""><strong>free app</strong></a><strong> or </strong><a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl""><strong>daily news podcast</strong></a></p></li></ul><p>The head of the theatre hosting the Shen Yun dance troupe in Sydney says the company would not be intimidated to pull the shows by any “outrageous” anonymous threats and that the publicity had increased interest in the show.</p><p>On Monday, the Gold Coast venue for the Shen Yun performances was forced to evacuate after a bomb threat, with a similar threat forcing the evacuation of Prime Minister Anthony Albanese’s official residence, The Lodge, in Canberra the next day.</p> <a href=""https://www.theguardian.com/australia-news/2026/feb/27/boss-of-theatre-hosting-chinese-dance-group-shen-yun-in-sydney-wont-be-intimidated-by-outrageous-threats"">Continue reading...</a>","Fri, 27 Feb 2026 01:00:19 GMT",https://www.theguardian.com/australia-news/2026/feb/27/boss-of-theatre-hosting-chinese-dance-group-shen-yun-in-sydney-wont-be-intimidated-by-outrageous-threats,2026-03-02 12:53:54.889918
Guardian,Jacinda Ardern living and working in Australia after move from US,"<p><strong>Exclusive:</strong> Former New Zealand PM ‘based out of Australia’, according to spokesperson, after rumours she was looking for houses in Sydney</p><p>The former New Zealand prime minister Jacinda Ardern is living in Australia with her family, a spokesperson has confirmed.</p><p>“The family has been travelling for a few years now,” her office told the Guardian.</p> <a href=""https://www.theguardian.com/world/2026/feb/26/jacinda-ardern-living-in-australia-former-nz-new-zealand-pm"">Continue reading...</a>","Thu, 26 Feb 2026 00:14:56 GMT",https://www.theguardian.com/world/2026/feb/26/jacinda-ardern-living-in-australia-former-nz-new-zealand-pm,2026-03-02 12:53:54.889925
